Found 29 missing translation keys:

MISSING [admin]: "common.status.completed" in src/views/adminPages/InterviewLivePage/index.tsx
MISSING [admin]: "common.status.inProgress" in src/views/adminPages/InterviewLivePage/index.tsx
MISSING [admin]: "common.status.scheduled" in src/views/adminPages/InterviewLivePage/index.tsx
MISSING [admin]: "common.status.cancelled" in src/views/adminPages/InterviewLivePage/index.tsx
MISSING [admin]: "employer:sidebar.dashboard" in src/layouts/components/employers/Sidebar/EmployerMenu.tsx
MISSING [admin]: "employer:sidebar.jobPostList" in src/layouts/components/employers/Sidebar/EmployerMenu.tsx
MISSING [admin]: "employer:sidebar.candidateManagement" in src/layouts/components/employers/Sidebar/EmployerMenu.tsx
MISSING [admin]: "employer:sidebar.appliedApplications" in src/layouts/components/employers/Sidebar/EmployerMenu.tsx
MISSING [admin]: "employer:sidebar.savedProfiles" in src/layouts/components/employers/Sidebar/EmployerMenu.tsx
MISSING [admin]: "employer:sidebar.findCandidates" in src/layouts/components/employers/Sidebar/EmployerMenu.tsx
MISSING [admin]: "employer:sidebar.onlineInterviews" in src/layouts/components/employers/Sidebar/EmployerMenu.tsx
MISSING [admin]: "employer:sidebar.interviewList" in src/layouts/components/employers/Sidebar/EmployerMenu.tsx
MISSING [admin]: "employer:sidebar.interviewLive" in src/layouts/components/employers/Sidebar/EmployerMenu.tsx
MISSING [admin]: "employer:sidebar.questionBank" in src/layouts/components/employers/Sidebar/EmployerMenu.tsx
MISSING [admin]: "employer:sidebar.questionSets" in src/layouts/components/employers/Sidebar/EmployerMenu.tsx
MISSING [admin]: "employer:sidebar.notifications" in src/layouts/components/employers/Sidebar/EmployerMenu.tsx
MISSING [admin]: "employer:sidebar.accountManagement" in src/layouts/components/employers/Sidebar/EmployerMenu.tsx
MISSING [admin]: "employer:sidebar.companyInfo" in src/layouts/components/employers/Sidebar/EmployerMenu.tsx
MISSING [admin]: "employer:sidebar.employerVerification" in src/layouts/components/employers/Sidebar/EmployerMenu.tsx
MISSING [admin]: "employer:sidebar.account" in src/layouts/components/employers/Sidebar/EmployerMenu.tsx
MISSING [admin]: "employer:sidebar.settings" in src/layouts/components/employers/Sidebar/EmployerMenu.tsx
MISSING [admin]: "employer:sidebar.employeeRoles" in src/layouts/components/employers/Sidebar/EmployerMenu.tsx
MISSING [jobSeeker]: "jobSeeker:nav.myDashboard" in src/layouts/components/jobSeekers/TabBar/index.tsx
MISSING [jobSeeker]: "jobSeeker:nav.profile" in src/layouts/components/jobSeekers/TabBar/index.tsx
MISSING [jobSeeker]: "jobSeeker:nav.jobs" in src/layouts/components/jobSeekers/TabBar/index.tsx
MISSING [jobSeeker]: "jobSeeker:nav.myCompany" in src/layouts/components/jobSeekers/TabBar/index.tsx
MISSING [jobSeeker]: "jobSeeker:nav.myInterviews" in src/layouts/components/jobSeekers/TabBar/index.tsx
MISSING [jobSeeker]: "jobSeeker:nav.notifications" in src/layouts/components/jobSeekers/TabBar/index.tsx
MISSING [jobSeeker]: "jobSeeker:nav.accountSettings" in src/layouts/components/jobSeekers/TabBar/index.tsx
