File,Line,Call
frontend/src/services/adminInterviewService.ts,12,"const data = await httpRequest.get('interview/admin/sessions/', { params: cleanParams(params) });"
frontend/src/services/adminInterviewService.ts,16,return (httpRequest.get(`interview/admin/sessions/${id}/`) as Promise<unknown>)
frontend/src/services/adminInterviewService.ts,20,"return (httpRequest.patch(`interview/admin/sessions/${id}/`, { status }) as Promise<unknown>)"
frontend/src/services/adminInterviewService.ts,24,return httpRequest.delete(`interview/admin/sessions/${id}/`);
frontend/src/services/adminJobService.ts,12,"const data = await httpRequest.get('job/web/admin-job-posts/', { params: cleanParams(params) });"
frontend/src/services/adminJobService.ts,16,"return (httpRequest.patch(`job/web/admin-job-posts/${id}/`, data) as Promise<unknown>)"
frontend/src/services/adminJobService.ts,20,return (httpRequest.patch(`job/web/admin-job-posts/${id}/approve/`) as Promise<unknown>)
frontend/src/services/adminJobService.ts,24,return (httpRequest.patch(`job/web/admin-job-posts/${id}/reject/`) as Promise<unknown>)
frontend/src/services/adminJobService.ts,28,return httpRequest.delete(`job/web/admin-job-posts/${id}/`);
frontend/src/services/adminManagementService.ts,226,"return withPaginatedPresign<Career>(httpRequest.get(url, { params: cleanParams(params) }));"
frontend/src/services/adminManagementService.ts,232,"httpRequest.post<Career>(url, data, adminManagementService.buildMultipartConfig(data))"
frontend/src/services/adminManagementService.ts,239,"httpRequest.patch<Career>(url, data, adminManagementService.buildMultipartConfig(data))"
frontend/src/services/adminManagementService.ts,245,return httpRequest.delete(url);
frontend/src/services/adminManagementService.ts,250,"return withPaginatedPresign<City>(httpRequest.get(url, { params: cleanParams(params) }));"
frontend/src/services/adminManagementService.ts,255,"return withPresign(httpRequest.post<City>(url, data));"
frontend/src/services/adminManagementService.ts,260,"return withPresign(httpRequest.patch<City>(url, data));"
frontend/src/services/adminManagementService.ts,265,return httpRequest.delete(url);
frontend/src/services/adminManagementService.ts,270,"return withPaginatedPresign<District>(httpRequest.get(url, { params: cleanParams(params) }));"
frontend/src/services/adminManagementService.ts,275,"return withPresign(httpRequest.post<District>(url, data));"
frontend/src/services/adminManagementService.ts,280,"return withPresign(httpRequest.patch<District>(url, data));"
frontend/src/services/adminManagementService.ts,285,return httpRequest.delete(url);
frontend/src/services/adminManagementService.ts,290,"return normalizePaginated<Ward>(httpRequest.get(url, { params: cleanParams(params) }));"
frontend/src/services/adminManagementService.ts,295,"return unwrapEntity<Ward>(httpRequest.post(url, data));"
frontend/src/services/adminManagementService.ts,300,"return unwrapEntity<Ward>(httpRequest.patch(url, data));"
frontend/src/services/adminManagementService.ts,305,return httpRequest.delete(url);
frontend/src/services/adminManagementService.ts,310,"return withPaginatedPresign<Company>(httpRequest.get(url, { params: cleanParams(params) }));"
frontend/src/services/adminManagementService.ts,315,return withPresign(httpRequest.get<Company>(url));
frontend/src/services/adminManagementService.ts,320,"return withPresign(httpRequest.post<Company>(url, data, adminManagementService.buildMultipartConfig(data)));"
frontend/src/services/adminManagementService.ts,325,"return withPresign(httpRequest.patch<Company>(url, data, adminManagementService.buildMultipartConfig(data)));"
frontend/src/services/adminManagementService.ts,330,return httpRequest.delete(url);
frontend/src/services/adminManagementService.ts,335,"return normalizePaginated<CompanyVerification>(httpRequest.get(url, { params: cleanParams(params) }));"
frontend/src/services/adminManagementService.ts,340,"return unwrapEntity<CompanyVerification>(httpRequest.patch(url, data));"
frontend/src/services/adminManagementService.ts,345,"return normalizePaginated<TrustReport>(httpRequest.get(url, { params: cleanParams(params) }));"
frontend/src/services/adminManagementService.ts,350,"return normalizePaginated<AuditLog>(httpRequest.get(url, { params: cleanParams(params) }));"
frontend/src/services/adminManagementService.ts,355,"return httpRequest.get<Blob>(url, {"
frontend/src/services/adminManagementService.ts,363,"return unwrapEntity<TrustReport>(httpRequest.patch(url, data));"
frontend/src/services/adminManagementService.ts,368,"return withPaginatedPresign<Banner>(httpRequest.get(url, { params: cleanParams(params) }));"
frontend/src/services/adminManagementService.ts,373,"return withPresign(httpRequest.post<Banner>(url, data, adminManagementService.buildMultipartConfig(data)));"
frontend/src/services/adminManagementService.ts,378,"return withPresign(httpRequest.patch<Banner>(url, data, adminManagementService.buildMultipartConfig(data)));"
frontend/src/services/adminManagementService.ts,383,return httpRequest.delete(url);
frontend/src/services/adminManagementService.ts,388,"return withPaginatedPresign<BannerType>(httpRequest.get(url, { params: cleanParams(params) }));"
frontend/src/services/adminManagementService.ts,393,"return withPresign(httpRequest.post<BannerType>(url, data));"
frontend/src/services/adminManagementService.ts,398,"return withPresign(httpRequest.patch<BannerType>(url, data));"
frontend/src/services/adminManagementService.ts,403,return httpRequest.delete(url);
frontend/src/services/adminManagementService.ts,408,"return withPaginatedPresign<Feedback>(httpRequest.get(url, { params: cleanParams(params) }));"
frontend/src/services/adminManagementService.ts,413,"return withPresign(httpRequest.post<Feedback>(url, data, adminManagementService.buildMultipartConfig(data)));"
frontend/src/services/adminManagementService.ts,418,"return withPresign(httpRequest.patch<Feedback>(url, data, adminManagementService.buildMultipartConfig(data)));"
frontend/src/services/adminManagementService.ts,423,return httpRequest.delete(url);
frontend/src/services/adminManagementService.ts,430,"return withPaginatedPresign<JobSeekerProfile>(httpRequest.get(url, { params: cleanParams(params) }));"
frontend/src/services/adminManagementService.ts,435,return withPresign(httpRequest.get<JobSeekerProfile>(url));
frontend/src/services/adminManagementService.ts,440,"return withPresign(httpRequest.post<JobSeekerProfile>(url, data));"
frontend/src/services/adminManagementService.ts,445,"return withPresign(httpRequest.patch<JobSeekerProfile>(url, data));"
frontend/src/services/adminManagementService.ts,450,return httpRequest.delete(url);
frontend/src/services/adminManagementService.ts,455,"return unwrapEntity<{ deleted: number }>(httpRequest.post(url, { ids }));"
frontend/src/services/adminManagementService.ts,460,"return withPaginatedPresign<Resume>(httpRequest.get(url, { params: cleanParams(params) }));"
frontend/src/services/adminManagementService.ts,465,"return unwrapEntity<Vieclam24hCatalogResponse>(httpRequest.get(url, { params: cleanParams(params) }));"
frontend/src/services/adminManagementService.ts,470,return withPresign(httpRequest.get<Resume>(url));
frontend/src/services/adminManagementService.ts,475,"return withPresign(httpRequest.post<Resume>(url, data));"
frontend/src/services/adminManagementService.ts,480,"return withPresign(httpRequest.patch<Resume>(url, data));"
frontend/src/services/adminManagementService.ts,485,return httpRequest.delete(url);
frontend/src/services/adminManagementService.ts,491,"httpRequest.post(url, data, { timeout: 180000 })"
frontend/src/services/adminManagementService.ts,497,return unwrapEntity<Vieclam24hImportJob>(httpRequest.get(url));
frontend/src/services/adminManagementService.ts,504,"return normalizePaginated<JobPostActivity>(httpRequest.get(url, { params: cleanParams(params) }));"
frontend/src/services/adminManagementService.ts,509,"return unwrapEntity<JobPostActivity>(httpRequest.post(url, data));"
frontend/src/services/adminManagementService.ts,514,"return unwrapEntity<JobPostActivity>(httpRequest.patch(url, data));"
frontend/src/services/adminManagementService.ts,519,return httpRequest.delete(url);
frontend/src/services/adminManagementService.ts,524,"return normalizePaginated<JobPostNotification>(httpRequest.get(url, { params: cleanParams(params) }));"
frontend/src/services/adminManagementService.ts,529,"return unwrapEntity<JobPostNotification>(httpRequest.post(url, data));"
frontend/src/services/adminManagementService.ts,534,"return unwrapEntity<JobPostNotification>(httpRequest.patch(url, data));"
frontend/src/services/adminManagementService.ts,539,return httpRequest.delete(url);
frontend/src/services/adminManagementService.ts,544,"return normalizePaginated<QuestionGroup>(httpRequest.get(url, { params: cleanParams(params) }));"
frontend/src/services/adminManagementService.ts,549,"return unwrapEntity<QuestionGroup>(httpRequest.post(url, data));"
frontend/src/services/adminManagementService.ts,554,"return unwrapEntity<QuestionGroup>(httpRequest.patch(url, data));"
frontend/src/services/adminManagementService.ts,559,return httpRequest.delete(url);
frontend/src/services/adminManagementService.ts,565,"return normalizePaginated<Question>(httpRequest.get(url, { params: cleanParams(params) }));"
frontend/src/services/adminManagementService.ts,570,"return unwrapEntity<Question>(httpRequest.post(url, data));"
frontend/src/services/adminManagementService.ts,575,"return unwrapEntity<Question>(httpRequest.patch(url, data));"
frontend/src/services/adminManagementService.ts,580,return httpRequest.delete(url);
frontend/src/services/adminService.ts,30,"return withPresign(httpRequest.get(url, { params: cleanParams(params) }))"
frontend/src/services/adminService.ts,37,return withPresign(httpRequest.get<AdminGeneralStats>(url));
frontend/src/services/adminSettingsService.ts,67,return (httpRequest.get(url) as Promise<unknown>).then(unwrapDataResponse<SystemSettingsPayload>);
frontend/src/services/adminSettingsService.ts,71,"return (httpRequest.put(url, data) as Promise<unknown>).then(unwrapDataResponse<SystemSettingsPayload>);"
frontend/src/services/adminSettingsService.ts,75,"return (httpRequest.post(url, {"
frontend/src/services/adminSettingsService.ts,84,return (httpRequest.get(url) as Promise<unknown>).then(normalizeHealthResponse);
frontend/src/services/advancedSkillService.ts,20,"return (httpRequest.post(url, data) as Promise<unknown>).then(unwrapDataResponse<AdvancedSkill>);"
frontend/src/services/advancedSkillService.ts,25,return (httpRequest.get(url) as Promise<unknown>).then(unwrapDataResponse<AdvancedSkill>);
frontend/src/services/advancedSkillService.ts,30,"return (httpRequest.put(url, data) as Promise<unknown>).then(unwrapDataResponse<AdvancedSkill>);"
frontend/src/services/advancedSkillService.ts,35,return httpRequest.delete(url);
frontend/src/services/agentAssistantService.ts,105,"return (httpRequest.get(""agent-assistants/tools/"") as Promise<unknown>).then((data) =>"
frontend/src/services/agentAssistantService.ts,111,"return (httpRequest.get(""agent-assistants/threads/"") as Promise<unknown>).then((data) =>"
frontend/src/services/agentAssistantService.ts,117,"return (httpRequest.post(""agent-assistants/threads/"", { portal }) as Promise<unknown>).then((data) =>"
frontend/src/services/agentAssistantService.ts,123,return (httpRequest.get(`agent-assistants/threads/${threadId}/messages/`) as Promise<unknown>).then((data) =>
frontend/src/services/agentAssistantService.ts,134,return (httpRequest.post(
frontend/src/services/agentAssistantService.ts,144,return httpRequest.delete(`agent-assistants/threads/${threadId}/`);
frontend/src/services/aiService.ts,47,"const response = await httpRequest.post<ArrayBuffer>(url, payload, {"
frontend/src/services/aiService.ts,58,"return httpRequest.get<ArrayBuffer>(url, { responseType: 'arraybuffer' });"
frontend/src/services/aiService.ts,67,"const response = await httpRequest.post<unknown>(url, formData, {"
frontend/src/services/aiService.ts,76,const response = await httpRequest.get<unknown>(`interview/web/screening-results/${id}/`);
frontend/src/services/aiService.ts,81,const response = await httpRequest.get<unknown>('ai/health/');
frontend/src/services/authService.ts,59,"return Promise.resolve(httpRequest.post(url, data)).then(unwrapDataResponse<TokenResponse>);"
frontend/src/services/authService.ts,82,"return Promise.resolve(httpRequest.post(url, data)).then(unwrapDataResponse<TokenResponse>);"
frontend/src/services/authService.ts,93,"return Promise.resolve(httpRequest.post(url, data)).then(unwrapDataResponse<TokenResponse>);"
frontend/src/services/authService.ts,103,"return Promise.resolve(httpRequest.post(url, data)).then(normalizeActionResponse);"
frontend/src/services/authService.ts,108,"return Promise.resolve(httpRequest.post(url, { email, roleName })).then("
frontend/src/services/authService.ts,115,"return Promise.resolve(httpRequest.post(url, { email })).then("
frontend/src/services/authService.ts,122,"return Promise.resolve(httpRequest.post(url, data)).then(normalizeActionResponse);"
frontend/src/services/authService.ts,127,"return Promise.resolve(httpRequest.post(url, data)).then(normalizeActionResponse);"
frontend/src/services/authService.ts,132,"return Promise.resolve(httpRequest.post(url, { email, platform })).then(normalizeActionResponse);"
frontend/src/services/authService.ts,142,const data = unwrapDataResponse<UserResponse>(await httpRequest.get(url));
frontend/src/services/authService.ts,158,return unwrapDataResponse<UserResponse>(await httpRequest.get(url));
frontend/src/services/authService.ts,163,"const resData = unwrapDataResponse<UserResponse>(await httpRequest.patch(url, data));"
frontend/src/services/authService.ts,172,"const resData = unwrapDataResponse<UserResponse>(await httpRequest.put(url, data, {"
frontend/src/services/authService.ts,185,const resData = unwrapDataResponse<UserResponse>(await httpRequest.delete(url));
frontend/src/services/authService.ts,194,"return Promise.resolve(httpRequest.put(url, data)).then(normalizeActionResponse);"
frontend/src/services/authService.ts,199,"return Promise.resolve(httpRequest.post(url, { ...data, platform: data.platform || 'WEB' })).then(normalizeActionRespons"
frontend/src/services/authService.ts,204,"return Promise.resolve(httpRequest.post(url, data)).then(normalizeActionResponse);"
frontend/src/services/authService.ts,209,return Promise.resolve(httpRequest.get(url)).then(unwrapDataResponse<UserSettingsData>);
frontend/src/services/authService.ts,214,"return Promise.resolve(httpRequest.put(url, data)).then(unwrapDataResponse<UserSettingsData>);"
frontend/src/services/authService.ts,225,return Promise.resolve(httpRequest.get(url)).then(
frontend/src/services/authService.ts,238,"return Promise.resolve(httpRequest.post(url, data)).then("
frontend/src/services/authService.ts,245,"return Promise.resolve(httpRequest.post(url, data)).then("
frontend/src/services/certificateService.ts,22,"return (httpRequest.post(url, data) as Promise<unknown>).then(unwrapDataResponse<Certificate>);"
frontend/src/services/certificateService.ts,27,return (httpRequest.get(url) as Promise<unknown>).then(unwrapDataResponse<Certificate>);
frontend/src/services/certificateService.ts,32,"return (httpRequest.put(url, data) as Promise<unknown>).then(unwrapDataResponse<Certificate>);"
frontend/src/services/certificateService.ts,37,return httpRequest.delete(url);
frontend/src/services/chatbotService.ts,35,"const response = await httpRequest.post('ai/chat/', payload, { timeout: 120000 });"
frontend/src/services/chatbotService.ts,39,const response = await httpRequest.get('ai/chatbot/config/');
frontend/src/services/commonService.ts,40,const data = (await httpRequest.get(url)) as SystemConfig;
frontend/src/services/commonService.ts,57,const data = await httpRequest.get(url);
frontend/src/services/commonService.ts,74,const data = await httpRequest.get(url);
frontend/src/services/commonService.ts,80,const data = (await httpRequest.get(url)) as unknown;
frontend/src/services/commonService.ts,87,const data = await httpRequest.get(url);
frontend/src/services/commonService.ts,97,"const res = await httpRequest.get(url, {"
frontend/src/services/commonService.ts,106,"const res = await httpRequest.get(url, {"
frontend/src/services/commonService.ts,118,"return httpRequest.get(url, {"
frontend/src/services/commonService.ts,158,return httpRequest.get(url) as Promise<{ status: string }>;
frontend/src/services/commonService.ts,173,"return (httpRequest.post(url, formData, {"
frontend/src/services/companyFollowed.ts,16,"return (httpRequest.get(url, { params: cleanParams(params) }) as Promise<unknown>).then((data) =>"
frontend/src/services/companyImageService.ts,13,const data = await httpRequest.get<PaginatedResponse<CompanyImage>>(url);
frontend/src/services/companyImageService.ts,19,"const resData = await httpRequest.post<CompanyImage[]>(url, data, {"
frontend/src/services/companyImageService.ts,29,return httpRequest.delete(url);
frontend/src/services/companyService.ts,44,const data = await httpRequest.get<Company>(url);
frontend/src/services/companyService.ts,50,"const resData = await httpRequest.put<Company>(url, data);"
frontend/src/services/companyService.ts,56,"const resData = await httpRequest.put<Company>(url, data, {"
frontend/src/services/companyService.ts,66,"const resData = await httpRequest.put<Company>(url, data, {"
frontend/src/services/companyService.ts,78,"const data = await httpRequest.get<PaginatedResponse<Company>>(url, {"
frontend/src/services/companyService.ts,86,const data = await httpRequest.get<Company>(url);
frontend/src/services/companyService.ts,92,const data = await httpRequest.get<JobPost | null>(url);
frontend/src/services/companyService.ts,98,return (httpRequest.post(url) as Promise<unknown>).then(unwrapDataResponse<{ isFollowed: boolean }>);
frontend/src/services/companyService.ts,103,const data = await httpRequest.get<unknown>(url);
frontend/src/services/companyTeamService.ts,59,"return (httpRequest.post('info/web/company-roles/', data) as Promise<unknown>)"
frontend/src/services/companyTeamService.ts,63,"return (httpRequest.patch(`info/web/company-roles/${id}/`, data) as Promise<unknown>)"
frontend/src/services/companyTeamService.ts,67,return httpRequest.delete<void>(`info/web/company-roles/${id}/`);
frontend/src/services/companyTeamService.ts,75,"return (httpRequest.post('info/web/company-members/', normalizeMemberPayload(data)) as Promise<unknown>)"
frontend/src/services/companyTeamService.ts,79,"return (httpRequest.patch(`info/web/company-members/${id}/`, normalizeMemberPayload(data)) as Promise<unknown>)"
frontend/src/services/companyTeamService.ts,83,return httpRequest.delete<void>(`info/web/company-members/${id}/`);
frontend/src/services/companyTeamService.ts,86,return (httpRequest.get('info/web/company-members/me/') as Promise<unknown>)
frontend/src/services/companyVerificationService.ts,24,return (httpRequest.get('info/web/company-verification/') as Promise<unknown>)
frontend/src/services/companyVerificationService.ts,28,"return (httpRequest.put('info/web/company-verification/', data) as Promise<unknown>)"
frontend/src/services/contactMessageService.ts,20,"const res = await httpRequest.post(url, data);"
frontend/src/services/contactMessageService.ts,27,"const res = await httpRequest.get(url, { params: cleanParams(params) });"
frontend/src/services/contactMessageService.ts,34,"const res = await httpRequest.patch(url, { is_read: true });"
frontend/src/services/contactMessageService.ts,41,await httpRequest.delete(url);
frontend/src/services/contentService.ts,143,const response = await httpRequest.get(url);
