File,Line,Snippet,HasHandler
frontend/src/app/error.tsx,40,<Button,False
frontend/src/app/error.tsx,43,onClick={reset},True
frontend/src/app/global-error.tsx,43,"<Button onClick={reset} variant=""contained"" sx={{ px: 4, py: 1.5, borderRadius: 2 }}>",True
frontend/src/app/not-found.tsx,34,<Button,False
frontend/src/app/not-found.tsx,37,onClick={() => push('/')},True
frontend/src/components/Common/ColorPickerDialog/index.tsx,60,onClick={() => handleColorSelect(color)},True
frontend/src/components/Common/ColorPickerDialog/index.tsx,74,onClick={() => setShowCustomPicker(!showCustomPicker)},True
frontend/src/components/Common/ColorPickerDialog/index.tsx,121,<Button onClick={onClose}>Hủy</Button>,True
frontend/src/components/Common/ColorPickerDialog/index.tsx,122,<Button,False
frontend/src/components/Common/ColorPickerDialog/index.tsx,124,onClick={handleConfirm},True
frontend/src/components/Common/Controls/BasicDropzone/index.tsx,131,<Button,False
frontend/src/components/Common/Controls/BasicDropzone/index.tsx,205,<Button,False
frontend/src/components/Common/Controls/FileUploadCustom/index.tsx,78,onClick={handleInputClick},True
frontend/src/components/Common/Controls/FileUploadCustom/index.tsx,86,<Button,False
frontend/src/components/Common/Controls/FileUploadCustom/index.tsx,117,<Button,False
frontend/src/components/Common/Controls/FileUploadCustom/index.tsx,121,onClick={(e) => {,True
frontend/src/components/Common/Controls/FormPopup/index.tsx,83,<IconButton,False
frontend/src/components/Common/Controls/FormPopup/index.tsx,84,onClick={() => setOpenPopup(false)},True
frontend/src/components/Common/Controls/InputBaseSearchCompanyCustom/index.tsx,121,<IconButton,False
frontend/src/components/Common/Controls/InputBaseSearchCompanyCustom/index.tsx,125,onClick={() => {,True
frontend/src/components/Common/Controls/InputBaseSearchCompanyCustom/index.tsx,148,"<Button variant=""contained"" type=""submit"" color=""primary"">",False
frontend/src/components/Common/Controls/InputBaseSearchHomeCustom/index.tsx,267,<IconButton,False
frontend/src/components/Common/Controls/InputBaseSearchHomeCustom/index.tsx,269,onClick={() => {,True
frontend/src/components/Common/Controls/InputBaseSearchHomeCustom/index.tsx,283,<Button,False
frontend/src/components/Common/Controls/InputBaseSearchHomeCustom/index.tsx,352,onClick={() => handleClickItem(value)},True
frontend/src/components/Common/Controls/InputBaseSearchHomeCustom/index.tsx,383,onClick={() => handleClickItem(item.kw || item.title)},True
frontend/src/components/Common/Controls/InputBaseSearchHomeCustom/index.tsx,412,onClick={() => handleClickItem(career.name)},True
frontend/src/components/Common/Controls/InputBaseSearchHomeCustom/index.tsx,441,onClick={() => handleClickItem(value)},True
frontend/src/components/Common/Controls/PasswordTextFieldCustom/index.tsx,84,onClick={handleClickShowPassword},True
frontend/src/components/Common/Controls/RangePickerCustom/index.tsx,98,onClick={handleOpenPopover},True
frontend/src/components/Common/Controls/RangePickerCustom/index.tsx,210,<Button,False
frontend/src/components/Common/Controls/RangePickerCustom/index.tsx,212,onClick={handleClosePopover},True
frontend/src/components/Common/Controls/RangePickerCustom/index.tsx,227,<Button,False
frontend/src/components/Common/Controls/RangePickerCustom/index.tsx,230,onClick={handleApplyPopover},True
frontend/src/components/Common/Controls/RangePickerCustom/index.tsx,251,onClick={() => handlePresetSelect(30)},True
frontend/src/components/Common/Controls/RangePickerCustom/index.tsx,278,onClick={() => handlePresetSelect(90)},True
frontend/src/components/Common/Controls/RangePickerCustom/index.tsx,305,<Button,False
frontend/src/components/Common/Controls/RangePickerCustom/index.tsx,309,onClick={() => setAllowSubmit(!allowSubmit)},True
frontend/src/components/Common/DataTable/index.tsx,197,onClick={header.column.getToggleSortingHandler()},True
frontend/src/components/Common/DataTableCustom/index.tsx,75,onClick={createSortHandler(headCell.id)},True
frontend/src/components/Common/DropzoneDialogCustom/index.tsx,25,"<IconButton color=""error"" onClick={() => setOpen(false)}>",True
frontend/src/components/Common/EmptyCard/index.tsx,55,<Button,False
frontend/src/components/Common/EmptyCard/index.tsx,58,onClick={onClick},True
frontend/src/components/Common/ExportModal/ExportError.tsx,68,<Button,False
frontend/src/components/Common/ExportModal/ExportError.tsx,70,onClick={onClose},True
frontend/src/components/Common/ExportModal/ExportError.tsx,89,<Button,False
frontend/src/components/Common/ExportModal/ExportError.tsx,91,onClick={onRetry},True
frontend/src/components/Common/ExportModal/ExportModal.tsx,132,<IconButton,False
frontend/src/components/Common/ExportModal/ExportModal.tsx,133,onClick={onClose},True
frontend/src/components/Common/ExportModal/ExportModal.tsx,224,<Button,False
frontend/src/components/Common/ExportModal/ExportModal.tsx,226,onClick={onClose},True
frontend/src/components/Common/ExportModal/ExportModal.tsx,243,<Button,False
frontend/src/components/Common/ExportModal/ExportModal.tsx,245,onClick={handleStartGenerate},True
frontend/src/components/Common/ExportModal/ExportOptions.tsx,127,onClick={() => onFormatChange(fmt.id as ExportFormat)},True
frontend/src/components/Common/ExportModal/ExportOptions.tsx,174,onClick={() => onScopeChange('all')},True
frontend/src/components/Common/ExportModal/ExportOptions.tsx,204,onClick={() => onScopeChange('filtered')},True
