File,Line,Type,Snippet
frontend/src/components/Common/ColorPickerDialog/index.tsx,41,Dialog/Drawer/Modal,<Dialog
frontend/src/components/Common/ColorPickerDialog/index.tsx,47,Dialog/Drawer/Modal,<DialogTitle>
frontend/src/components/Common/ColorPickerDialog/index.tsx,50,Dialog/Drawer/Modal,<DialogContent>
frontend/src/components/Common/ColorPickerDialog/index.tsx,120,Dialog/Drawer/Modal,<DialogActions>
frontend/src/components/Common/Controls/FormPopup/index.tsx,46,Dialog/Drawer/Modal,<Dialog
frontend/src/components/Common/Controls/FormPopup/index.tsx,65,Dialog/Drawer/Modal,<DialogTitle
frontend/src/components/Common/Controls/FormPopup/index.tsx,99,Dialog/Drawer/Modal,<DialogContent sx={{ p: 3 }}>{children}</DialogContent>
frontend/src/components/Common/Controls/FormPopup/index.tsx,102,Dialog/Drawer/Modal,<DialogActions
frontend/src/components/Common/ExportModal/ExportModal.tsx,60,Dialog/Drawer/Modal,<Dialog
frontend/src/components/Common/ExportModal/ExportModal.tsx,94,Dialog/Drawer/Modal,<DialogTitle
frontend/src/components/Common/ExportModal/ExportModal.tsx,148,Dialog/Drawer/Modal,"<DialogContent sx={{ p: isMobile ? 2 : 3, backgroundColor: '#FFFFFF' }}>"
frontend/src/components/Common/ExportModal/ExportModal.tsx,215,Dialog/Drawer/Modal,<DialogActions
frontend/src/components/Common/ImageCropDialog/index.tsx,121,Dialog/Drawer/Modal,"<Dialog open={open} onClose={onCancel} maxWidth=""md"" fullWidth>"
frontend/src/components/Common/ImageCropDialog/index.tsx,122,Dialog/Drawer/Modal,"<DialogTitle sx={{ display: 'flex', alignItems: 'center', gap: 1 }}>"
frontend/src/components/Common/ImageCropDialog/index.tsx,135,Dialog/Drawer/Modal,<DialogContent>
frontend/src/components/Common/ImageCropDialog/index.tsx,177,Dialog/Drawer/Modal,"<DialogActions sx={{ px: 3, pb: 2 }}>"
frontend/src/components/Common/SocialNetworkSharingPopup/SocialNetworkSharingPopup.tsx,68,Dialog/Drawer/Modal,<Dialog
frontend/src/components/Common/SocialNetworkSharingPopup/SocialNetworkSharingPopup.tsx,92,Dialog/Drawer/Modal,<DialogTitle
frontend/src/components/Features/Feedback/index.tsx,189,Dialog/Drawer/Modal,<Dialog
frontend/src/components/Features/Feedback/index.tsx,204,Dialog/Drawer/Modal,<DialogTitle>
frontend/src/components/Features/Feedback/index.tsx,240,Dialog/Drawer/Modal,<DialogContent sx={{ pt: 2 }}>
frontend/src/components/Features/Feedback/index.tsx,392,Dialog/Drawer/Modal,"<DialogActions sx={{ p: 3, pt: 2 }}>"
frontend/src/layouts/components/MuiShellLayout.tsx,205,Dialog/Drawer/Modal,<Drawer
frontend/src/layouts/components/MuiShellLayout.tsx,229,Dialog/Drawer/Modal,<Drawer
frontend/src/layouts/components/commons/LeftDrawer/index.tsx,105,Dialog/Drawer/Modal,<Drawer
frontend/src/layouts/components/commons/SubHeaderDialog/index.tsx,248,Dialog/Drawer/Modal,<Dialog
frontend/src/layouts/components/employers/Sidebar/index.tsx,26,Dialog/Drawer/Modal,<Drawer
frontend/src/layouts/components/employers/Sidebar/index.tsx,49,Dialog/Drawer/Modal,<DrawerContent isAdmin={isAdmin} liveInterviewCount={liveInterviewCount} isCollapsed={isCollapsed} t
frontend/src/layouts/components/employers/Sidebar/index.tsx,66,Dialog/Drawer/Modal,<Drawer
frontend/src/layouts/components/employers/Sidebar/index.tsx,90,Dialog/Drawer/Modal,<DrawerContent isAdmin={isAdmin} liveInterviewCount={liveInterviewCount} isCollapsed={false} />
frontend/src/views/adminPages/BannersPage/BannerDeleteDialog.tsx,14,Dialog/Drawer/Modal,<Dialog open={open} onClose={onClose}>
frontend/src/views/adminPages/BannersPage/BannerDeleteDialog.tsx,15,Dialog/Drawer/Modal,<DialogTitle>{t('pages.banners.deleteTitle')}</DialogTitle>
frontend/src/views/adminPages/BannersPage/BannerDeleteDialog.tsx,16,Dialog/Drawer/Modal,<DialogContent>
frontend/src/views/adminPages/BannersPage/BannerDeleteDialog.tsx,19,Dialog/Drawer/Modal,"<DialogActions sx={{ px: 3, pb: 2 }}>"
frontend/src/views/adminPages/BannersPage/BannerFormDialog.tsx,188,Dialog/Drawer/Modal,"<Dialog open={open} onClose={onClose} fullWidth maxWidth=""sm"">"
frontend/src/views/adminPages/BannersPage/BannerFormDialog.tsx,189,Dialog/Drawer/Modal,<DialogTitle>{dialogMode === 'add' ? t('pages.banners.addTitle') : t('pages.banners.editTitle')}</Di
frontend/src/views/adminPages/BannersPage/BannerFormDialog.tsx,190,Dialog/Drawer/Modal,<DialogContent>
frontend/src/views/adminPages/BannersPage/BannerFormDialog.tsx,280,Dialog/Drawer/Modal,"<DialogActions sx={{ px: 3, pb: 2 }}>"
frontend/src/views/adminPages/BannerTypesPage/index.tsx,296,Dialog/Drawer/Modal,"<Dialog open={openDialog} onClose={handleClose} fullWidth maxWidth=""xs"">"
frontend/src/views/adminPages/BannerTypesPage/index.tsx,297,Dialog/Drawer/Modal,<DialogTitle>
frontend/src/views/adminPages/BannerTypesPage/index.tsx,300,Dialog/Drawer/Modal,<DialogContent>
frontend/src/views/adminPages/BannerTypesPage/index.tsx,347,Dialog/Drawer/Modal,"<DialogActions sx={{ px: 3, pb: 2 }}>"
frontend/src/views/adminPages/BannerTypesPage/index.tsx,359,Dialog/Drawer/Modal,<Dialog open={openDelete} onClose={handleClose}>
frontend/src/views/adminPages/BannerTypesPage/index.tsx,360,Dialog/Drawer/Modal,<DialogTitle>{t('pages.bannerTypes.deleteTitle')}</DialogTitle>
frontend/src/views/adminPages/BannerTypesPage/index.tsx,361,Dialog/Drawer/Modal,<DialogContent>
frontend/src/views/adminPages/BannerTypesPage/index.tsx,364,Dialog/Drawer/Modal,"<DialogActions sx={{ px: 3, pb: 2 }}>"
