File,Line,Snippet
frontend/src/components/Features/ApplyForm/index.tsx,4,"import { useForm } from ""react-hook-form"";"
frontend/src/components/Features/ApplyForm/index.tsx,116,} = useForm<ApplyFormValues>({
frontend/src/components/Features/ApplyForm/index.tsx,171,<form id={formId} onSubmit={handleSubmit(handleApplyJob)}>
frontend/src/components/Features/ChatBot/index.tsx,315,"<form className=""sq-chatbot__composer"" onSubmit={handleSend}>"
frontend/src/components/Features/Feedback/index.tsx,4,import { useForm } from 'react-hook-form';
frontend/src/components/Features/Feedback/index.tsx,70,"const { control, handleSubmit, watch, reset } = useForm<FeedbackData>({"
frontend/src/components/Features/TrustReportDialog/index.tsx,4,"import { useForm, Controller } from 'react-hook-form';"
frontend/src/components/Features/TrustReportDialog/index.tsx,53,"const { control, handleSubmit, reset } = useForm<TrustReportFormValues>({"
frontend/src/components/Features/TrustReportDialog/index.tsx,114,"<Box component=""form"" id=""modal-form"" onSubmit={handleSubmit(onSubmit)}>"
frontend/src/components/Features/VoiceAssistant/components/livekit/agent-control-bar/chat-input.tsx,76,<form
frontend/src/components/Features/VoiceAssistant/components/livekit/agent-control-bar/chat-input.tsx,77,onSubmit={handleSubmit}
frontend/src/views/adminPages/ProfilesPage/index.tsx,27,import { useForm } from 'react-hook-form';
frontend/src/views/adminPages/ProfilesPage/index.tsx,108,"const { control, handleSubmit, reset, watch } = useForm<ProfilesFilterValues>({"
frontend/src/views/adminPages/ProfilesPage/index.tsx,527,"<Box component=""form"" onSubmit={handleSubmit(() => onPaginationChange({ pageIndex: 0, pageSize }))}>"
frontend/src/views/components/auths/AccountForm/index.tsx,5,import { useForm } from 'react-hook-form';
frontend/src/views/components/auths/AccountForm/index.tsx,43,"const { control, reset, setError, handleSubmit } = useForm<AccountFormData>({"
frontend/src/views/components/auths/AccountForm/index.tsx,92,"<form id=""account-form"" onSubmit={handleSubmit(handleUpdate)}>"
frontend/src/views/components/auths/EmployerLoginForm/index.tsx,3,"import { useForm } from ""react-hook-form"";"
