CONTAINER ID   IMAGE                               COMMAND                  CREATED          STATUS                      PORTS                                                                                                          NAMES
ba00f49dcbe8   tuyendung_studio_vn-livekit-agent   "uv run python -m srΓÇª"   9 minutes ago    Up 9 minutes                                                                                                                               tuyendung-studio-livekit-agent
360e1d432bc8   tuyendung_studio_vn-celery-worker   "celery -A myjob_apiΓÇª"   9 minutes ago    Up 9 minutes                8000/tcp                                                                                                       tuyendung-studio-celery-worker
2206c21d18de   tuyendung_studio_vn-backend         "python manage.py ruΓÇª"   9 minutes ago    Up 9 minutes                0.0.0.0:8010->8001/tcp, [::]:8010->8001/tcp                                                                    tuyendung-studio-backend
5232db25a889   tuyendung_studio_vn-vieneu-tts      "/opt/nvidia/nvidia_ΓÇª"   9 minutes ago    Up 9 minutes                0.0.0.0:8298->8298/tcp, [::]:8298->8298/tcp                                                                    tuyendung-studio-tts
0d415955ff80   tuyendung_studio_vn-frontend        "docker-entrypoint.sΓÇª"   9 minutes ago    Up 9 minutes                0.0.0.0:3005->3000/tcp, [::]:3005->3000/tcp                                                                    tuyendung-studio-frontend
7ca1f5f81c70   tuyendung_studio_vn-celery-beat     "celery -A myjob_apiΓÇª"   9 minutes ago    Up 9 minutes                8000/tcp                                                                                                       tuyendung-studio-celery-beat
f89aeb302ea3   tuyendung_studio_vn-whisper         "/opt/nvidia/nvidia_ΓÇª"   9 minutes ago    Up 9 minutes                0.0.0.0:11437->8080/tcp, [::]:11437->8080/tcp                                                                  tuyendung-studio-whisper
830ac7f5c18c   livekit/livekit-server:latest       "/livekit-server --cΓÇª"   45 minutes ago   Up 45 minutes               0.0.0.0:7880-7881->7880-7881/tcp, [::]:7880-7881->7880-7881/tcp, 0.0.0.0:7882->7882/udp, [::]:7882->7882/udp   tuyendung-studio-livekit
ad8fcbb781b3   quay.io/minio/minio:latest          "/usr/bin/docker-entΓÇª"   45 minutes ago   Up 45 minutes               0.0.0.0:9000-9001->9000-9001/tcp, [::]:9000-9001->9000-9001/tcp                                                tuyendung-studio-minio
957937382f28   redis:7                             "docker-entrypoint.sΓÇª"   45 minutes ago   Up 45 minutes               0.0.0.0:6380->6379/tcp, [::]:6380->6379/tcp                                                                    tuyendung-studio-redis
1f689f14ff84   mysql:8.0                           "docker-entrypoint.sΓÇª"   45 minutes ago   Up 45 minutes               0.0.0.0:3310->3306/tcp, [::]:3310->3306/tcp                                                                    tuyendung-studio-db
b1f2c2298266   ghcr.io/ggml-org/llama.cpp:server   "/app/llama-server -ΓÇª"   45 minutes ago   Up 45 minutes (unhealthy)   0.0.0.0:11436->11434/tcp, [::]:11436->11434/tcp                                                                tuyendung-studio-llama-cpp
